variable;variable_old;text;info
geschlecht;Q8;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID5""}"
alter;Q10;Wie alt sind Sie? (Angabe in Jahren);"{""ImportId"":""QID6_TEXT""}"
abschluss;Q16;Bitte nennen Sie uns Ihren höchsten bisher erreichten Bildungsabschluss:;"{""ImportId"":""QID9""}"
taetigkeit;Q12;Bitte geben Sie die Form Ihrer derzeit ausgeübten Tätigkeit an:;"{""ImportId"":""QID7""}"
branche;Q14;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld Ihrer letzten Tätigkeit an. - Selected Choice;"{""ImportId"":""QID8""}"
branche sonstiges;Q14_17_TEXT;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld Ihrer letzten Tätigkeit an. - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID8_17_TEXT""}"
kut_1a;kut_1;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert bin, allein lösen.;"{""ImportId"":""QID120_1""}"
kut_1b;kut_2;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Es macht mir richtig Spaß, ein technisches Problem zu knacken.;"{""ImportId"":""QID120_4""}"
kut_1c;kut_3;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.;"{""ImportId"":""QID120_5""}"
kut_1d;kut_4;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.;"{""ImportId"":""QID120_6""}"
jobdauer;Q72;Wie lange sind Sie in Ihrer aktuellen Jobposition bereits tätig? (Angabe in Jahren)Wenn Sie momentan nicht berufstätig sind, beziehen Sie sich bitte auf ihre letzte Jobposition.;"{""ImportId"":""QID109_TEXT""}"
af_1;Q25;Bitte geben Sie die ungefähre Entfernung von Ihrem Zuhause zu Ihrer Arbeitsstelle an (in km).;"{""ImportId"":""QID23_TEXT""}"
af_2;Q27;Wie viele Stunden arbeiten Sie durchschnittlich pro Woche?;"{""ImportId"":""QID24""}"
af_3;Q29;Wie viele Mitarbeiter beschäftigt Ihr Arbeitgeber (Anzahl der Beschäftigen des Unternehmens)?;"{""ImportId"":""QID25_TEXT""}"
af_4;Q41;Haben Sie die Möglichkeit, an einem anderen Ort als ihrem Standard-Arbeitsplatz zu arbeiten (z.B. Home-Office, Kundenbesuche, externe Meetings)?;"{""ImportId"":""QID115""}"
af_5;Q42;Wie viele Arbeitstage pro Woche arbeiten Sie nicht von Ihrem Arbeitsplatz aus?;"{""ImportId"":""QID116""}"
af_6a;Q43_1;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs muss ich von unterwegs erfüllen, z.B. beim Kunden oder in Meetings.;"{""ImportId"":""QID117_1""}"
af_6b;Q43_2;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Mein Arbeitgeber setzt mich flexibel an vielen Orten ein.;"{""ImportId"":""QID117_2""}"
