variable;variable_old;text;info
Q8;Q8;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID5""}"
Q10;Q10;Wie alt sind Sie? (Angabe in Jahren);"{""ImportId"":""QID6_TEXT""}"
Q16;Q16;Bitte nennen Sie uns Ihren höchsten bisher erreichten Bildungsabschluss:;"{""ImportId"":""QID9""}"
Q12;Q12;Bitte geben Sie die Form Ihrer derzeit ausgeübten Tätigkeit an:;"{""ImportId"":""QID7""}"
Q14;Q14;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld Ihrer letzten Tätigkeit an. - Selected Choice;"{""ImportId"":""QID8""}"
Q14_17_TEXT;Q14_17_TEXT;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld Ihrer letzten Tätigkeit an. - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID8_17_TEXT""}"
kut_1;kut_1;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert bin, allein lösen.;"{""ImportId"":""QID120_1""}"
kut_2;kut_2;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Es macht mir richtig Spaß, ein technisches Problem zu knacken.;"{""ImportId"":""QID120_4""}"
kut_3;kut_3;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.;"{""ImportId"":""QID120_5""}"
kut_4;kut_4;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.;"{""ImportId"":""QID120_6""}"
Q72;Q72;Wie lange sind Sie in Ihrer aktuellen Jobposition bereits tätig? (Angabe in Jahren)Wenn Sie momentan nicht berufstätig sind, beziehen Sie sich bitte auf ihre letzte Jobposition.;"{""ImportId"":""QID109_TEXT""}"
Q25;Q25;Bitte geben Sie die ungefähre Entfernung von Ihrem Zuhause zu Ihrer Arbeitsstelle an (in km).;"{""ImportId"":""QID23_TEXT""}"
Q27;Q27;Wie viele Stunden arbeiten Sie durchschnittlich pro Woche?;"{""ImportId"":""QID24""}"
Q29;Q29;Wie viele Mitarbeiter beschäftigt Ihr Arbeitgeber (Anzahl der Beschäftigen des Unternehmens)?;"{""ImportId"":""QID25_TEXT""}"
Q41;Q41;Haben Sie die Möglichkeit, an einem anderen Ort als ihrem Standard-Arbeitsplatz zu arbeiten (z.B. Home-Office, Kundenbesuche, externe Meetings)?;"{""ImportId"":""QID115""}"
Q42;Q42;Wie viele Arbeitstage pro Woche arbeiten Sie nicht von Ihrem Arbeitsplatz aus?;"{""ImportId"":""QID116""}"
Q43_1;Q43_1;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs muss ich von unterwegs erfüllen, z.B. beim Kunden oder in Meetings.;"{""ImportId"":""QID117_1""}"
Q43_2;Q43_2;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Mein Arbeitgeber setzt mich flexibel an vielen Orten ein.;"{""ImportId"":""QID117_2""}"
Q43_3;Q43_3;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheidet mein Arbeitgeber, von wo aus ich arbeite.;"{""ImportId"":""QID117_3""}"
Q43_4;Q43_4;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs darf ich an einem beliebigen Ort erfüllen, z.B. Zuhause oder in einem Coworking Café;"{""ImportId"":""QID117_4""}"
Q43_5;Q43_5;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Ich kann flexibel von vielen Orten aus arbeiten.;"{""ImportId"":""QID117_5""}"
Q43_6;Q43_6;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheide Ich selbst, von wo aus ich arbeite.;"{""ImportId"":""QID117_6""}"
Q69_1;Q69_1;Nutzen Sie die folgenden Programme & Tools bei der Arbeit? - Chatprogramme;"{""ImportId"":""QID107_1""}"
Q69_2;Q69_2;Nutzen Sie die folgenden Programme & Tools bei der Arbeit? - Emailprogramme;"{""ImportId"":""QID107_2""}"
Q69_3;Q69_3;Nutzen Sie die folgenden Programme & Tools bei der Arbeit? - Ticketsystem;"{""ImportId"":""QID107_3""}"
Q69_4;Q69_4;Nutzen Sie die folgenden Programme & Tools bei der Arbeit? - Organisationstools;"{""ImportId"":""QID107_4""}"
Q53;Q53;Sind Sie in Ihrer beruflichen Laufbahn bereits in Kontakt mit unterschiedlichen IKTs gekommen?;"{""ImportId"":""QID93""}"
Q51_1;Q51_1;Bitte geben Sie die Häufigkeit ihrer Nutzung an. - Wie oft nutzen Sie in Ihrem Unternehmen  Informations- oder/und Kommunikationstechnologien, die Ihre Arbeit erleichtern sollen? (z.B. Firmeninterne Messenger-Dienste, Softwares, CRM Systeme, CMS Systeme, etc.);"{""ImportId"":""QID92_1""}"
Q51_2;Q51_2;Bitte geben Sie die Häufigkeit ihrer Nutzung an. - Wie oft nutzen Sie Softwares, die es Ihnen erlauben, gemeinsam mit Ihren Kollegen/Geschäftspartnern an einem Dokument/Projekt zu arbeiten? (z.B. Google Docs, Hardware, o.ä.);"{""ImportId"":""QID92_2""}"
Q57_1;Q57_1;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung:
 Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich habe den Eindruck, dass Arbeitsprozesse durch IKTs erleichtert werden.";"{""ImportId"":""QID95_1""}"
