variable;variable_old;text;info
gender;gender;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID4""}"
age;age;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID5_TEXT""}"
edu1;edu1;Bitte geben Sie Ihren höchsten Schulabschluss an:;"{""ImportId"":""QID6""}"
edu2;edu2;Bitte geben Sie Ihren höchsten Ausbildungsabschluss an:;"{""ImportId"":""QID7""}"
ati_1;ATI_1;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Ich beschäftige mich gern genauer mit technischen Systemen.";"{""ImportId"":""QID2_1""}"
ati_2;ATI_2;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Ich probiere gern die Funktionen neuer technischer Systeme aus.";"{""ImportId"":""QID2_2""}"
ati_3;ATI_3;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.";"{""ImportId"":""QID2_3""}"
ati_4;ATI_4;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.";"{""ImportId"":""QID2_4""}"
ati_5;ATI_5;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.";"{""ImportId"":""QID2_5""}"
ati_6;ATI_6;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.";"{""ImportId"":""QID2_6""}"
ati_7;ATI_7;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Ich versuche zu verstehen, wie ein technisches System genau  funktioniert.";"{""ImportId"":""QID2_7""}"
ati_8;ATI_8;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.";"{""ImportId"":""QID2_8""}"
ati_9;ATI_9;"Im Folgenden geht es um ""technische Systeme"" im Alltag. Damit sind sowohl Apps und andere Software-Anwendungen, als auch digitale Geräte (z.B. Handy, Computer, Fernseher, Auto-Navigation) gemeint. - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.";"{""ImportId"":""QID2_9""}"
vb_allg_1;VB_allg_1;In diesem Block geht es um Ihre allgemeine Einstellung zu Veränderungen. - Ich stehe Veränderungen grundsätzlich misstrauisch gegenüber.;"{""ImportId"":""QID41_1""}"
vb_allg_2;VB_allg_2;In diesem Block geht es um Ihre allgemeine Einstellung zu Veränderungen. - Veränderungsmaßnahmen stimmen mich normalerweise optimistisch.;"{""ImportId"":""QID41_2""}"
